Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2018","2018","ha","84147","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","44","Barley","2018","2018","hg/ha","6748","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2018","2018","tonnes","56781","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2018","2018","ha","72433","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","56","Maize","2018","2018","hg/ha","14727","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2018","2018","tonnes","106670","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2018","2018","ha","117539","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","29963","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2018","2018","tonnes","352177","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2018","2018","ha","1635000","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","15","Wheat","2018","2018","hg/ha","22100","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2018","2018","tonnes","3613300","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2018","2018","ha","3397","","Official data"
"QC","Crops","3","Albania","5419","Yield","44","Barley","2018","2018","hg/ha","28422","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","44","Barley","2018","2018","tonnes","9655","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","56","Maize","2018","2018","ha","54115","","Official data"
"QC","Crops","3","Albania","5419","Yield","56","Maize","2018","2018","hg/ha","72273","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","56","Maize","2018","2018","tonnes","391104","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","27","Rice, paddy","2018","2018","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","27","Rice, paddy","2018","2018","tonnes","0","","Official data"
