Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","89","Buckwheat","2018","2018","tonnes","133","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","89","Buckwheat","2018","2018","1000 US$","38","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","56","Maize","2018","2018","tonnes","15828","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","56","Maize","2018","2018","1000 US$","3010","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","27","Rice, paddy","2018","2018","tonnes","739","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","27","Rice, paddy","2018","2018","1000 US$","217","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","71","Rye","2018","2018","tonnes","1","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","71","Rye","2018","2018","1000 US$","1","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","15","Wheat","2018","2018","tonnes","692468","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","15","Wheat","2018","2018","1000 US$","141276","","Official data"
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","56","Maize","2018","2018","tonnes","84834","","Official data"
"TP","Crops and livestock products","3","Albania","5622","Import Value","56","Maize","2018","2018","1000 US$","19042","","Official data"
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","15","Wheat","2018","2018","tonnes","194876","","Official data"
"TP","Crops and livestock products","3","Albania","5622","Import Value","15","Wheat","2018","2018","1000 US$","47234","","Official data"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","89","Buckwheat","2018","2018","tonnes","237","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","89","Buckwheat","2018","2018","1000 US$","111","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","56","Maize","2018","2018","tonnes","4123670","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","56","Maize","2018","2018","1000 US$","809493","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5910","Export Quantity","56","Maize","2018","2018","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","4","Algeria","5922","Export Value","56","Maize","2018","2018","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","27","Rice, paddy","2018","2018","tonnes","1000","F","FAO estimate"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","27","Rice, paddy","2018","2018","1000 US$","600","F","FAO estimate"
